TEST,ANSWER,TIME
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\106.txt,4,0.15334796905517578
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\107.txt,-1,0.11670279502868652
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\108.txt,4,0.11825203895568848
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\109.txt,12,0.15123772621154785
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\110.txt,15,0.2105116844177246
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\111.txt,11,0.16533327102661133
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\112.txt,1,0.11139488220214844
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\113.txt,8,0.13723993301391602
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\114.txt,4,0.11535286903381348
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\115.txt,11,0.16301822662353516
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\116.txt,4,0.12844133377075195
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\117.txt,18,0.3197634220123291
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\118.txt,6,0.1268322467803955
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\119.txt,8,0.11724090576171875
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\120.txt,15,0.1698746681213379
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\121.txt,13,0.1502385139465332
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\122.txt,8,0.12482500076293945
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\123.txt,7,0.14051270484924316
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\124.txt,12,0.17230916023254395
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\125.txt,8,0.11206817626953125
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\126.txt,12,0.16087961196899414
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\127.txt,12,0.15244174003601074
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\128.txt,13,0.14097261428833008
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\129.txt,7,0.1261441707611084
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\130.txt,6,0.11957907676696777
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\131.txt,12,0.1559734344482422
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\132.txt,-1,0.11590957641601562
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\133.txt,8,0.134857177734375
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\134.txt,19,0.20765447616577148
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\135.txt,8,0.13352465629577637
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\136.txt,-1,0.10853338241577148
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\137.txt,14,0.13481664657592773
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\138.txt,6,0.1051630973815918
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\139.txt,5,0.10592508316040039
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\140.txt,9,0.09832453727722168
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\141.txt,8,0.09848666191101074
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\142.txt,15,0.1347672939300537
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\143.txt,12,0.10076785087585449
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\144.txt,1,0.09069037437438965
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\145.txt,8,0.10267448425292969
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\146.txt,15,0.13778281211853027
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\147.txt,10,0.11309075355529785
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\148.txt,6,0.0860452651977539
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\149.txt,14,0.1292884349822998
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\150.txt,4,0.08978152275085449
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\151.txt,7,0.09772062301635742
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\152.txt,14,0.1351490020751953
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\153.txt,16,0.1568598747253418
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\154.txt,15,0.1277637481689453
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\155.txt,8,0.10082197189331055
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\156.txt,-1,0.08209085464477539
