TEST,ANSWER,TIME
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\112.txt,1,0.11280393600463867
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\113.txt,8,0.15334677696228027
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\114.txt,4,0.11257553100585938
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\115.txt,11,0.24108195304870605
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\116.txt,4,0.18790245056152344
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\117.txt,14,0.31631994247436523
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\118.txt,6,0.13687729835510254
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\119.txt,8,0.14760184288024902
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\120.txt,15,0.4096076488494873
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\121.txt,13,0.32062315940856934
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\122.txt,8,0.12911295890808105
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\123.txt,7,0.15938520431518555
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\124.txt,12,0.24683451652526855
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\125.txt,8,0.23981666564941406
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\126.txt,12,0.3443644046783447
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\127.txt,12,0.23309707641601562
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\128.txt,13,0.25565433502197266
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\129.txt,7,0.1282339096069336
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\130.txt,6,0.27695679664611816
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\131.txt,12,0.16965699195861816
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\132.txt,-1,0.11682772636413574
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\133.txt,8,0.18221426010131836
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\134.txt,15,0.1955864429473877
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\135.txt,8,0.23954987525939941
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\136.txt,-1,0.11705446243286133
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\137.txt,14,0.24574923515319824
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\138.txt,6,0.13274002075195312
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\139.txt,5,0.12224078178405762
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\140.txt,9,0.20658588409423828
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\141.txt,8,0.1387627124786377
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\142.txt,15,0.3462045192718506
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\143.txt,12,0.25870609283447266
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\144.txt,1,0.11512184143066406
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\145.txt,8,0.1262500286102295
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\146.txt,15,0.37274885177612305
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\147.txt,10,0.27419018745422363
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\148.txt,6,0.13031315803527832
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\149.txt,14,0.2643468379974365
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\150.txt,4,0.1183476448059082
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\151.txt,7,0.2774009704589844
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\152.txt,14,0.3406074047088623
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\153.txt,16,0.21931123733520508
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\154.txt,15,0.3496367931365967
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\155.txt,8,0.17306923866271973
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\156.txt,-1,0.11985492706298828
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\157.txt,10,0.2061460018157959
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\158.txt,15,0.2679305076599121
